contactDate,beat,encounterType,reasonForEncounter,resultOfEncounter,search,typeOfSearch,resultOfSearch,race,sex
6/20/15,30X,Pedestrian,Traffic Violation,Warning,No,No,No,Afr American,Male
6/20/15,06X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/20/15,06X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/20/15,08X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/20/15,08X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
6/20/15,08X,Vehicle,Traffic Violation,Citation,No,No,No,White,Female
6/20/15,04X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/20/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/20/15,32Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/20/15,15X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
6/20/15,02X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
6/20/15,32Y,Vehicle,Consensual Encounter,FI Report,No,No,No,Afr American,Male
6/20/15,32Y,Vehicle,Consensual Encounter,FI Report,No,No,No,Afr American,Female
6/20/15,30Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/20/15,12X,Vehicle,Traffic Violation,Citation,Yes,Inventory,None,Afr American,Male
6/20/15,12Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
6/20/15,21Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
6/20/15,21Y,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
6/20/15,03Y,Pedestrian,Reasonable Suspicion,FI Report,Yes,P/C,None,Afr American,Male
6/20/15,18X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
6/20/15,09X,Vehicle,Traffic Violation,Warning,No,No,No,White,Female
6/20/15,35X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
6/20/15,32Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
6/20/15,32Y,Vehicle,Traffic Violation,Citation,No,No,No,Other,Male
6/20/15,26Y,Vehicle,Traffic Violation,Citation,Yes,Inventory,None,Afr American,Male
6/20/15,20X,Pedestrian,Probable Cause,Warning,Yes,Weapons,None,Hispanic,Male
6/20/15,27X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Male
6/20/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/20/15,20X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/21/15,16Y,Vehicle,Traffic Violation,Citation,Yes,Inventory,None,Afr American,Male
6/21/15,03X,Pedestrian,Traffic Violation,Warning,No,No,No,White,Male
6/21/15,19X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/21/15,19X,Pedestrian,Reasonable Suspicion,Misdemeanor Arrest,Yes,Incident to Arrest,None,Hispanic,Female
6/21/15,35X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Female
6/21/15,09X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
6/21/15,09X,Vehicle,Traffic Violation,Citation,No,No,No,Other,Female
6/21/15,02X,Vehicle,Probable Cause,Citation,No,No,No,Afr American,Male
6/21/15,09X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
6/21/15,12X,Vehicle,Traffic Violation,Citation,Yes,Inventory,None,Hispanic,Male
6/21/15,18X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
6/21/15,22X,Vehicle,Traffic Violation,Citation,Yes,Weapons,None,Afr American,Male
6/21/15,35X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/21/15,27X,Vehicle,Traffic Violation,Warning,Yes,Prob./Parole,Yes,Afr American,Male
6/21/15,29X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/21/15,07X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/21/15,08X,Pedestrian,Reasonable Suspicion,FI Report,No,No,No,Afr American,Male
6/21/15,18X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
6/21/15,10Y,Vehicle,Traffic Violation,Citation,Yes,Inventory,None,Afr American,Male
6/21/15,35X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
6/21/15,34X,Vehicle,Traffic Violation,Citation,Yes,Weapons,None,Afr American,Male
6/21/15,14X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/21/15,27Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/21/15,07X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/21/15,06X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
6/21/15,09X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
6/21/15,27X,Vehicle,Reasonable Suspicion,Citation,No,No,No,Afr American,Female
6/21/15,19X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
6/21/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
6/21/15,23X,Pedestrian,Reasonable Suspicion,FI Report,Yes,Weapons,None,Hispanic,Male
6/21/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/21/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/21/15,04X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
6/21/15,17X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Male
6/21/15,03X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/21/15,04X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/21/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/21/15,02X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
6/21/15,04X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Male
6/21/15,06X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/21/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Female
6/21/15,10Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/21/15,03X,Pedestrian,Traffic Violation,Citation,No,No,No,White,Male
6/21/15,26X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
6/21/15,21Y,Pedestrian,Reasonable Suspicion,FI Report,No,No,No,Afr American,Male
6/21/15,04X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
6/21/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/21/15,02X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/21/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/21/15,04X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
6/21/15,20X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
6/21/15,27X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
6/21/15,27Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/21/15,24X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/21/15,24X,Vehicle,Traffic Violation,Citation,No,No,No,Other,Female
6/21/15,27X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/21/15,19X,Pedestrian,Probable Cause,FI Report,No,No,No,Asian,Male
6/21/15,31Y,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
6/22/15,02X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/22/15,05Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/22/15,25X,Pedestrian,Reasonable Suspicion,FI Report,Yes,Weapons,None,Afr American,Male
6/22/15,14X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/22/15,16Y,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/22/15,19X,Vehicle,Traffic Violation,Citation,Yes,Weapons,None,Afr American,Male
6/22/15,19X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
6/22/15,19X,Pedestrian,Reasonable Suspicion,Warning,No,No,No,Afr American,Female
6/22/15,19X,Pedestrian,Reasonable Suspicion,Warning,No,No,No,Afr American,Female
6/22/15,26X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
6/22/15,26X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
6/22/15,34X,Pedestrian,Probable Cause,FI Report,Yes,Prob./Parole,Yes,Afr American,Male
6/22/15,10Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/22/15,08X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
6/22/15,14X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/22/15,14X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/22/15,14X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
6/22/15,14X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/22/15,14X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Male
6/22/15,08X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
6/22/15,33X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,Yes,White,Female
6/22/15,28X,Vehicle,Traffic Violation,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
6/22/15,33X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,White,Female
6/22/15,27Y,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Hispanic,Male
6/22/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/22/15,19X,Vehicle,Traffic Violation,FI Report,No,No,No,Asian,Female
6/22/15,32X,Vehicle,Traffic Violation,FI Report,Yes,P/C,Yes,Hispanic,Male
6/22/15,32X,Vehicle,Traffic Violation,FI Report,Yes,P/C,Yes,Hispanic,Male
6/22/15,19X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/22/15,29X,Vehicle,Traffic Violation,Felony Arrest,Yes,Weapons,Yes,Afr American,Male
6/22/15,29X,Vehicle,Traffic Violation,Felony Arrest,Yes,Prob./Parole,Yes,Afr American,Male
6/22/15,29X,Vehicle,Traffic Violation,Felony Arrest,Yes,Weapons,Yes,Afr American,Male
6/22/15,27Y,Vehicle,Traffic Violation,Warning,Yes,Prob./Parole,None,Afr American,Male
6/22/15,27Y,Vehicle,Traffic Violation,FI Report,Yes,Weapons,None,Afr American,Male
6/22/15,30X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/22/15,32X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/22/15,32X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/22/15,20X,Vehicle,Traffic Violation,Citation,Yes,P/C,Yes,Hispanic,Male
6/22/15,34X,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Incident to Arrest,None,Afr American,Male
6/22/15,09X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/22/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/22/15,27Y,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Incident to Arrest,Yes,Hispanic,Male
6/22/15,05X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/22/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/22/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/22/15,08X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/22/15,08X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
6/22/15,19X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
6/22/15,19X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/22/15,27X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/22/15,10Y,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Female
6/22/15,34X,Vehicle,Probable Cause,Citation,No,No,No,Afr American,Female
6/22/15,26X,Pedestrian,Probable Cause,Felony Arrest,Yes,Incident to Arrest,None,Afr American,Male
6/22/15,32Y,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
6/22/15,24X,Vehicle,Traffic Violation,Warning,Yes,Prob./Parole,Yes,Afr American,Male
6/22/15,26Y,Vehicle,Traffic Violation,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
6/22/15,24X,Vehicle,Traffic Violation,Warning,Yes,Prob./Parole,Yes,Afr American,Male
6/22/15,30X,Vehicle,Traffic Violation,Warning,Yes,Prob./Parole,None,Afr American,Male
6/22/15,27Y,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
6/22/15,27Y,Pedestrian,Probation/Parole,Misdemeanor Arrest,Yes,Prob./Parole,Yes,Afr American,Male
6/22/15,32Y,Pedestrian,Probable Cause,FI Report,Yes,Prob./Parole,None,Afr American,Female
6/22/15,27Y,Pedestrian,Probable Cause,Report Taken-No Action,Yes,Prob./Parole,None,Afr American,Male
6/22/15,19X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/22/15,30Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/22/15,14X,Other,Probable Cause,FI Report,Yes,Weapons,None,Asian,Female
6/23/15,06X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/23/15,28X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/23/15,25X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/23/15,02Y,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Female
6/23/15,03Y,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
6/23/15,20X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
6/23/15,10X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/23/15,03X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
6/23/15,19X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
6/23/15,08X,Pedestrian,Traffic Violation,FI Report,Yes,Prob./Parole,Yes,Afr American,Male
6/23/15,02X,Pedestrian,Traffic Violation,Misdemeanor Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
6/23/15,02X,Pedestrian,Reasonable Suspicion,FI Report,No,No,No,Afr American,Male
6/23/15,19X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/23/15,18Y,Vehicle,Traffic Violation,Warning,Yes,Consent,None,Asian,Male
6/23/15,18Y,Vehicle,Probable Cause,Warning,Yes,P/C,Yes,Afr American,Male
6/23/15,03X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/23/15,18Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/23/15,21X,Vehicle,Reasonable Suspicion,FI Report,No,No,No,Afr American,Male
6/23/15,08X,Bicycle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/23/15,05X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
6/23/15,05Y,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
6/23/15,05X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
6/23/15,05Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
6/23/15,05X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
6/23/15,08X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
6/23/15,10X,Pedestrian,Traffic Violation,Warning,No,No,No,Afr American,Male
6/23/15,07X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
6/23/15,17Y,Vehicle,Traffic Violation,Warning,Yes,Prob./Parole,Yes,Afr American,Male
6/23/15,21Y,Vehicle,Traffic Violation,Warning,Yes,Prob./Parole,Yes,Afr American,Male
6/23/15,33X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,White,Male
6/23/15,18X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
6/23/15,19X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
6/23/15,30X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/23/15,30X,Vehicle,Probable Cause,Citation,No,No,No,Afr American,Female
6/23/15,30X,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Incident to Arrest,None,Afr American,Male
6/23/15,34X,Vehicle,Probable Cause,FI Report,No,No,No,Hispanic,Male
6/23/15,35X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Female
6/23/15,06X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/23/15,20X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
6/23/15,18X,Pedestrian,Probable Cause,Warning,Yes,P/C,Yes,Hispanic,Male
6/23/15,18X,Pedestrian,Probable Cause,Warning,Yes,P/C,Yes,Hispanic,Male
6/23/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/23/15,20X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
6/23/15,21X,Vehicle,Traffic Violation,Warning,Yes,Prob./Parole,None,Hispanic,Male
6/23/15,15X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/23/15,01X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
6/23/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
6/23/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/23/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,White,Female
6/23/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
6/23/15,26Y,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/23/15,33X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/23/15,34X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/23/15,26Y,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
6/23/15,19X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/23/15,21Y,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/23/15,19X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/23/15,02X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
6/23/15,05X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
6/23/15,05X,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
6/23/15,06X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Male
6/23/15,08X,Pedestrian,Reasonable Suspicion,Misdemeanor Arrest,Yes,P/C,None,Hispanic,Female
6/23/15,03X,Vehicle,Traffic Violation,FI Report,No,No,No,Other,Male
6/23/15,35X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
6/23/15,34X,Pedestrian,Probable Cause,Citation,No,No,No,Afr American,Male
6/23/15,35X,Vehicle,Traffic Violation,Citation,Yes,Inventory,None,Afr American,Male
6/23/15,35X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/23/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Male
6/23/15,24X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
6/23/15,10Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/23/15,10Y,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Prob./Parole,Yes,Afr American,Male
6/23/15,17Y,Vehicle,Traffic Violation,Warning,No,No,No,Other,Male
6/23/15,05X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
6/23/15,05X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
6/23/15,22X,Pedestrian,Reasonable Suspicion,Warning,No,No,No,Afr American,Male
6/23/15,22X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
6/23/15,07X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
6/23/15,22X,Pedestrian,Consensual Encounter,FI Report,No,No,No,Afr American,Male
6/23/15,19X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
6/23/15,07X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/23/15,06X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Female
6/23/15,06X,Vehicle,Traffic Violation,Felony Arrest,Yes,Prob./Parole,Yes,Afr American,Male
6/23/15,02X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
6/23/15,03X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
6/23/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
6/23/15,24X,Vehicle,Traffic Violation,Warning,Yes,Prob./Parole,None,Afr American,Male
6/23/15,05X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
6/23/15,10X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/23/15,10X,Pedestrian,Probable Cause,FI Report,Yes,Prob./Parole,None,Afr American,Male
6/23/15,07X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/23/15,10Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
6/24/15,03X,Pedestrian,Consensual Encounter,FI Report,No,No,No,Hispanic,Male
6/24/15,25X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/24/15,26X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Female
6/24/15,25X,Vehicle,Traffic Violation,Citation,No,No,No,Other,Male
6/24/15,25X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/24/15,29X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/24/15,04X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/24/15,04X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Female
6/24/15,19X,Vehicle,Traffic Violation,FI Report,No,No,No,Asian,Male
6/24/15,34X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/24/15,34X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Hispanic,Male
6/24/15,31X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
6/24/15,25Y,Vehicle,Consensual Encounter,FI Report,No,No,No,Afr American,Male
6/24/15,12X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/24/15,14X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
6/24/15,34X,Pedestrian,Probable Cause,Misdemeanor Arrest,Yes,Incident to Arrest,Yes,White,Female
6/24/15,34X,Pedestrian,Probable Cause,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Female
6/24/15,32X,Pedestrian,Probable Cause,FI Report,Yes,P/C,None,Afr American,Male
6/24/15,02X,Pedestrian,Consensual Encounter,Felony Arrest,Yes,Incident to Arrest,None,Afr American,Male
6/24/15,29X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
6/24/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/24/15,08X,Pedestrian,Probation/Parole,Misdemeanor Arrest,Yes,Prob./Parole,Yes,Afr American,Male
6/24/15,33X,Vehicle,Probable Cause,Citation,Yes,P/C,None,Afr American,Male
6/24/15,20X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
6/24/15,20X,Pedestrian,Probable Cause,FI Report,Yes,Incident to Arrest,None,Hispanic,Male
6/24/15,12Y,Bicycle,Traffic Violation,Citation,No,No,No,White,Male
6/24/15,30X,Pedestrian,Reasonable Suspicion,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
6/24/15,30X,Pedestrian,Reasonable Suspicion,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
6/24/15,29X,Bicycle,Probable Cause,Misdemeanor Arrest,Yes,Incident to Arrest,None,Afr American,Male
6/24/15,30X,Vehicle,Probable Cause,Warning,Yes,P/C,Yes,Hispanic,Male
6/24/15,30X,Vehicle,Probable Cause,FI Report,Yes,Prob./Parole,None,Hispanic,Male
6/24/15,30X,Vehicle,Probable Cause,Warning,Yes,P/C,Yes,Afr American,Male
6/24/15,24Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
6/24/15,26Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
6/24/15,26Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/24/15,26Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/24/15,09X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/24/15,11X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/24/15,28X,Vehicle,Probable Cause,FI Report,Yes,P/C,None,Afr American,Male
6/24/15,27Y,Vehicle,Probable Cause,FI Report,No,No,No,Hispanic,Male
6/24/15,15X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
6/24/15,19X,Pedestrian,Probable Cause,Misdemeanor Arrest,Yes,Incident to Arrest,Yes,Afr American,Female
6/24/15,19X,Pedestrian,Probable Cause,Misdemeanor Arrest,Yes,Incident to Arrest,None,Afr American,Female
6/24/15,19X,Vehicle,Probable Cause,Misdemeanor Arrest,Yes,Incident to Arrest,None,Hispanic,Female
6/24/15,27X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
6/24/15,27Y,Pedestrian,Probable Cause,Felony Arrest,Yes,Incident to Arrest,None,Afr American,Male
6/24/15,19X,Vehicle,Probable Cause,Misdemeanor Arrest,Yes,Incident to Arrest,Yes,Hispanic,Female
6/24/15,21X,Vehicle,Probable Cause,Misdemeanor Arrest,Yes,Incident to Arrest,None,Afr American,Female
6/24/15,21X,Vehicle,Probable Cause,Misdemeanor Arrest,Yes,Incident to Arrest,None,Hispanic,Male
6/24/15,19X,Vehicle,Probable Cause,Misdemeanor Arrest,Yes,Incident to Arrest,None,Afr American,Female
6/24/15,29X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/24/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/24/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
6/24/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
6/24/15,24X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Female
6/24/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/24/15,19X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
6/24/15,21Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/24/15,21Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/24/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,White,Female
6/24/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
6/24/15,27Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
6/24/15,11X,Pedestrian,Probable Cause,FI Report,No,No,No,Afr American,Male
6/24/15,25X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/24/15,19X,Vehicle,Probable Cause,Misdemeanor Arrest,Yes,Incident to Arrest,None,Afr American,Female
6/24/15,19X,Pedestrian,Probable Cause,Misdemeanor Arrest,Yes,Incident to Arrest,None,Afr American,Female
6/24/15,13Z,Vehicle,Traffic Violation,FI Report,No,No,No,Other,Female
6/24/15,13Z,Vehicle,Traffic Violation,FI Report,No,No,No,White,Female
6/24/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
6/24/15,21Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
6/24/15,21Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
6/24/15,34X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
